; from aparatus.sagnac1 import  magnet

; def step_phi(step): magnet.phi = magnet.phi + step


; parameters = ( {
;   "step_phi": -np.arange(20)
; });
 
 

time.time, magnet.phi


1733719262.24529,172.988
1733719263.4407814,171.975
1733719265.3708658,169.961
1733719268.136709,166.949
1733719271.7466125,162.937
1733719276.078189,157.925
1733719281.2682698,151.912
1733719287.2692103,144.9
1733719294.024278,136.886
1733719301.5714443,127.873
1733719309.947702,117.86
1733719319.1107292,106.847
1733719329.0712736,94.834
1733719339.8633752,81.82
1733719351.4726777,67.807
1733719363.8503008,52.794
1733719377.042075,36.782
1733719391.0348468,19.769
1733719405.7965152,1.756
1733719421.3918922,-17.256
