,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.00999999999999997,0.010164495915951305,-0.0005768362466455031,-2.12198382477483e-05,5.486582223443081e-06,4.624061705782826e-06,5.531524176526369e-07,4.661938539806669e-07,-0.009511507391134663,-0.21791220327862296
1,3347620.0000000843,0.060000000000000046,0.0711530999996549,-0.0005780469574083589,-2.3224595511952393e-05,2.4740014551899842e-06,1.9969977030416867e-06,6.599284687114841e-07,5.326899195730056e-07,-0.004279931627496201,-0.08598632867530219
2,3347620.0000000843,0.10999999999999999,0.14227173705132848,-0.0005780380084079479,-2.190935906549221e-05,4.281900243510999e-06,1.220372576442628e-06,1.6150867796573658e-06,4.6031142772554027e-07,-0.007407644793643165,-0.05570097111442869
3,3347620.0000000843,0.1600000000000001,0.1600020395081011,-0.000577138999629398,-2.3182022452396732e-05,2.894308035760243e-06,1.4097923189895722e-06,1.157730592986441e-06,5.639205216879448e-07,-0.00501492367977001,-0.06081403474975141
4,3347620.0000000843,0.21,0.20997394281585668,-0.0005757921072697788,-2.3566942318652166e-05,2.2621042686417775e-06,1.014836223225948e-06,1.03656208884798e-06,4.650275276732908e-07,-0.003928682314469278,-0.04306185374004803
5,3347620.0000000843,0.25999999999999995,0.2599856423727869,-0.0005751892465765248,-2.177781213406211e-05,1.4183417103079995e-06,1.1649753827898819e-06,7.231952369386246e-07,5.94006819274489e-07,-0.0024658696572473202,-0.05349368318628179
6,3347620.0000000843,0.31000000000000005,0.31004675981755,-0.0005762820095614752,-2.0809270040101798e-05,2.9689296329266676e-06,1.10293438924677e-06,1.6531547258692753e-06,6.141341908833567e-07,-0.005151869368932565,-0.05300207009286206
7,3347620.0000000843,0.36,0.36002963514508307,-0.0005751496477033924,-2.005553652983114e-05,1.9228179140344366e-06,2.1610134301295515e-06,1.1537382332666546e-06,1.2966614252682324e-06,-0.003343161074187154,-0.10775146438566739
8,3347620.0000000843,0.4100000000000001,0.40990719604173226,-0.0005765687447738091,-1.5658553842986445e-05,2.368692613766644e-06,2.8339849387816747e-06,1.5165316451645498e-06,1.8144303809635373e-06,-0.004108257055619438,-0.18098637761820086
9,3347620.0000000843,0.46,0.46005372915768705,-0.0005771326444279354,-9.02799205900038e-06,2.2367288363897966e-06,2.88989733520505e-06,1.5171118985998046e-06,1.960138198981664e-06,-0.003875588840771403,-0.32010410690647334
