,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity
0,50.0,0.09999999999999869,0.07115309999965481,2.3851114599064452e-08,2.5469371716393035e-08,5.548876355419029e-07,5.340222880601737e-07,1.4801371553841045e-07,1.4244798040763094e-07
1,62.9462706,0.09999999999999869,0.07115309999965481,1.306541046112594e-08,1.1223149640146538e-08,5.535079038321913e-07,5.418523042750621e-07,1.4764567847339072e-07,1.4453660109127585e-07
2,79.2446596,0.09999999999999869,0.07115309999965481,-1.4171118782449259e-08,-6.146185648390094e-09,5.103118614232455e-07,4.7411408407318655e-07,1.3612333354447765e-07,1.264677435175311e-07
3,99.7631157,0.09999999999999869,0.07115309999965481,4.7933518028629514e-11,2.1129361544010893e-08,6.106020485257869e-07,6.009383422984683e-07,1.628752780360729e-07,1.602975290055323e-07
4,125.594322,0.09999999999999869,0.07115309999965481,-6.844040261908215e-09,1.0706112110633103e-08,4.439210954095561e-07,4.433911015248269e-07,1.1841390315587186e-07,1.1827252973345851e-07
5,158.113883,0.09999999999999869,0.07115309999965481,1.4893779087918036e-08,1.7303770398599097e-08,4.544519370465115e-07,4.215381723573942e-07,1.2122295655442187e-07,1.1244336174648296e-07
6,199.053585,0.09999999999999869,0.07115309999965481,8.915362341333056e-09,5.983229410988706e-09,4.60821737527352e-07,4.820142491632143e-07,1.2292207143105233e-07,1.2857507608982724e-07
7,250.593617,0.09999999999999869,0.07115309999965481,2.569202451444847e-08,3.1669005247079587e-10,4.3192667666229267e-07,4.536408317027001e-07,1.152144473187054e-07,1.210065979478486e-07
8,12559.4322,0.09999999999999869,0.07115309999965481,1.696762127016471e-08,1.6013920599330836e-08,2.174007141174192e-07,2.1065173038444586e-07,5.7990637015722447e-08,5.6190376756814154e-08
9,15811.3883,0.09999999999999869,0.07115309999965481,2.725981122661949e-08,1.375839212125824e-08,2.2190201541189423e-07,2.2484049902816147e-07,5.919133835898168e-08,5.997516530021043e-08
10,19905.3585,0.09999999999999869,0.07115309999965481,7.319777354714527e-09,1.4461889622481552e-08,2.111145427374373e-07,2.2076360929510018e-07,5.6313829815731995e-08,5.88876737819655e-08
11,25059.3617,0.09999999999999869,0.07115309999965481,1.9622929105963756e-08,1.9815717227630082e-08,2.7019017709385895e-07,2.726416123992613e-07,7.207198259984144e-08,7.272589165225759e-08
12,31547.8672,0.09999999999999869,0.07115309999965481,1.554972792725137e-08,9.952383870810044e-09,2.825464326864903e-07,2.986918751141719e-07,7.536795674534846e-08,7.967467898903085e-08
13,39716.4117,0.09999999999999869,0.07115309999965481,2.731355494953575e-08,-1.3913570552789754e-08,2.0193939053927015e-07,2.1794389792482539e-07,5.386640031740687e-08,5.8135528789128015e-08
14,50000.0,0.09999999999999869,0.07115309999965481,3.6525825129859024e-09,2.3885938134466897e-09,2.086238536389027e-07,2.1761723744925735e-07,5.5649449995184924e-08,5.804839361506498e-08
15,62946.2706,0.09999999999999869,0.07115309999965481,2.0340277645882472e-08,1.4490144061517292e-08,2.19901081040214e-07,2.3137642904177759e-07,5.8657598351220166e-08,6.171859446289048e-08
