LightIntensity,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr,localTime,time
100.0,0.0099999999999999,0.0101644959159513,3.3680884629261855e-05,1.6403655776499472e-06,1.4058109978098826e-06,1.8396404851836775e-06,300,1.4173263436726677e-07,1.8547094357631477e-07,0.0417391352182156,1.1214820100158525,,
208.0,0.0099999999999999,0.0101644959159513,0.0001033369340718,2.8537487906464425e-06,2.0731322078422186e-06,2.379408267735925e-06,300,2.0901137469180788e-07,2.3988985898307414e-07,0.0200618706802451,0.8337833643713721,,
310.0,0.0099999999999999,0.0101644959159513,0.0001567838065939,4.110904796190588e-06,2.34838587244788e-06,2.823873064744742e-06,300,2.3676220824239333e-07,2.847004108010017e-07,0.0149784976105977,0.6869225157832681,,
400.0,0.0099999999999999,0.0101644959159513,0.0002023359366344,5.206260208979715e-06,3.168606127924363e-06,2.9898359505313907e-06,300,3.1945609650417524e-07,3.0143264368748574e-07,0.015660125337246,0.5742770876827374,,
398.0,0.009999999999999933,0.01016449591595134,0.00020507247907971288,2.43783394242195e-06,2.633150427655342e-06,3.1535996878242647e-06,300,2.654719214590734e-07,3.179431603476257e-07,0.012840096533049766,1.293607260505698,2024-06-24 21:07:37,1719277657.0605884
499.0,0.009999999999999933,0.01016449591595134,0.00026567028642000005,6.497649452999126e-06,2.8977864698239076e-06,3.889136349148619e-06,300,2.9215229560859354e-07,3.920993227660557e-07,0.010907454156325094,0.5985451165503406,2024-06-24 21:09:18,1719277758.137138
596.0,0.009999999999999933,0.01016449591595134,0.0003013022328535633,6.9754681600911315e-06,3.347014602277673e-06,3.858124108677884e-06,300,3.3744308273698547e-07,3.889726958251681e-07,0.01110849584677444,0.5530989490786349,2024-06-24 21:11:14,1719277874.7663834
710.0,0.009999999999999933,0.01016449591595134,0.0003569796065685527,9.472703025984655e-06,4.141947791487937e-06,4.258314635976373e-06,300,4.1758755111023724e-07,4.293195545218243e-07,0.011602757455256863,0.4495353252704485,2024-06-24 21:15:33,1719278133.181776
804.0,0.009999999999999933,0.01016449591595134,0.000391021077158699,1.008707573946608e-05,4.264366398645398e-06,4.247299099831029e-06,300,4.2992968793732795e-07,4.2820897780896616e-07,0.01090572004361461,0.42106346869324124,2024-06-24 21:18:14,1719278294.8412879
923.0,0.009999999999999933,0.01016449591595134,0.00043060090182229485,1.2230521717159002e-05,4.1876329764342125e-06,4.313033958859966e-06,300,4.2219349147069743e-07,4.348363087620223e-07,0.00972509105000066,0.352645133102452,2024-06-24 21:20:16,1719278416.5974853
1010.0,0.009999999999999933,0.01016449591595134,0.0004625655022198839,7.2629958123914345e-06,4.8106171991307255e-06,3.713739672812253e-06,300,4.850022155378582e-07,3.7441598337324647e-07,0.010399861589427314,0.5113233944698443,2024-06-24 21:21:41,1719278501.891868
1200.0,0.009999999999999933,0.01016449591595134,0.0004894607016644308,-2.7584977440486754e-06,5.183907538543771e-06,2.782182690549557e-06,300,5.226370208362139e-07,2.8049722376402e-07,0.010591059753961216,-1.0085861757733827,2024-06-24 21:22:58,1719278578.8858693
1300.0,0.009999999999999933,0.01016449591595134,0.0005060971089701358,-8.026834719656892e-06,5.801210211788301e-06,2.305948831767434e-06,300,5.848729360603851e-07,2.3248374294388534e-07,0.01146264246320882,-0.2872799692910585,2024-06-24 21:24:37,1719278677.067381
0.0,0.009999999999999933,0.01016449591595134,-4.650593604943654e-08,1.1395083877523014e-07,5.519407904057649e-07,5.142434287520444e-07,300,5.564618740416186e-08,5.184557239673826e-08,-11.868179361426963,4.512853387296234,2024-06-24 21:50:33,1719280233.4667158
0.0,0.009999999999999933,0.01016449591595134,-2.217196305829396e-08,1.2912882954267128e-07,5.328900092799528e-07,4.971114302758378e-07,300,5.3725504325197424e-08,5.0118339305098195e-08,-24.03440813422303,3.849732333487657,2024-06-24 21:54:48,1719280488.907805
0.0,0.009999999999999933,0.01016449591595134,-3.2604808813841126e-08,1.5123478756867443e-07,5.434375515742226e-07,5.236403591626284e-07,300,5.478889830760045e-08,5.279296269609774e-08,-16.667404942534947,3.4624332640719175,2024-06-24 21:55:37,1719280537.3034756
0.0,0.009999999999999933,0.01016449591595134,-5.6857151796994273e-08,1.4372652847999714e-07,5.161064656955475e-07,5.119733383353953e-07,300,5.2033402150764654e-08,5.161670386782163e-08,-9.077247969407276,3.562135283930191,2024-06-24 21:56:20,1719280580.6734972
0.1,0.009999999999999933,0.01016449591595134,-5.606203208007977e-08,1.2579527095799145e-07,5.121863712432461e-07,5.232378769813446e-07,300,5.1638181659134726e-08,5.275238479485204e-08,-9.136065037949963,4.159439961428094,2024-06-24 21:59:40,1719280780.754401
0.1,0.009999999999999933,0.01016449591595134,-1.647605621279219e-08,9.405972918874838e-08,5.08750474553287e-07,5.061483819530638e-07,300,5.1291777562111484e-08,5.102943686363084e-08,-30.878170599969646,5.381137988792022,2024-06-24 22:00:22,1719280822.861425
49.0,0.009999999999999933,0.01016449591595134,1.885072759577551e-05,-6.44809490389249e-07,1.0375854602209854e-06,1.1922899606092886e-06,300,1.0460845795586886e-07,1.2020563028036035e-07,0.05504219690986944,-1.8490577114327904,2024-06-24 22:04:08,1719281048.8302765
25.0,0.009999999999999933,0.01016449591595134,9.74500521434546e-06,-5.078433311579328e-07,8.65565285961638e-07,9.589502580369269e-07,300,8.726553454719113e-08,9.668052569690065e-08,0.08882142871380445,-1.8882797099066475,2024-06-24 22:05:51,1719281151.244329
10.0,0.009999999999999933,0.01016449591595134,4.353257526264121e-06,-2.980547303730223e-07,6.542411077869631e-07,7.686117900760401e-07,300,6.596001586448348e-08,7.74907679502662e-08,0.15028771071773,-2.5787605823739312,2024-06-24 22:07:21,1719281241.0514958
10.0,0.009999999999999933,0.01016449591595134,5.011037267730327e-06,-1.7423288976554977e-07,6.713116272281561e-07,7.603554791723179e-07,300,6.768105069362282e-08,7.665837391126467e-08,0.13396660039852717,-4.364018069122672,2024-06-24 22:18:28,1719281908.8997552
25.0,0.009999999999999933,0.01016449591595134,1.0944967348001488e-05,-3.441690765147417e-07,8.460659200256247e-07,1.0016413066197094e-06,300,8.529962554028475e-08,1.0098459984980254e-07,0.07730182220964901,-2.910317558924578,2024-06-24 22:19:53,1719281993.717186
25.0,0.009999999999999933,0.01016449591595134,1.0994888578909248e-05,-2.2540804902832067e-07,7.922563230497764e-07,9.410199348448145e-07,300,7.987458906987062e-08,9.487280620613431e-08,0.07205678505642232,-4.174739717154391,2024-06-24 22:22:45,1719282165.892047
0.1,0.009999999999999933,0.01016449591595134,-2.208988438570018e-08,-4.723330668421192e-08,4.7566657880127554e-07,4.716822983519591e-07,300,4.795628814897577e-08,4.755459648130539e-08,-21.533230799034733,-9.986222254255647,2024-06-24 22:24:47,1719282287.7853782
