queueT, repeat, sampNumb, myHF2LI.ac, myHF2LI.dc, pd.Timestamp.now() #now, time.time, myHF2LI.sigins[1-1].diff, myHF2LI.sigins[2-1].diff, dem(1-1)['x'] # TX1, dem(1-1)['y'] # TY1, dem(2-1)['x'] # TX2, dem(2-1)['y'] # TY2, dem(3-1)['y'] # Y1, dem(3-1)['x'] # X1,  dem(4-1)['x'] # X2, dem(4-1)['y'] # Y2, myHF2LI.sigins[1-1].ac #acCoupled1, myHF2LI.sigins[2-1].ac #acCoupled2, purpose, TM620.Tmag #Tmag, TM620.Tshield #Tshield, LK336.get_sample_temp() #Tsamp, LK336.get_vti_temp() #Tvti, scanner.x #x, scanner.y #y, scanner.z #z                 ;
;from clerk import hysteresis, Counter, np, onesweepscanners, time
;from aparatus.sagnac4 import myHF2LI, TM620, LK336, scanner

;dem = myHF2LI.dem

;sampNumb = None #declaring variables
;repeat = None
;import pandas as pd
;queueT = pd.Timestamp.now()

;J2J1 = 0.543

;#def onesweepscanners(ysteps,xsteps,yrange,xrange):
;#    xarr = np.array(np.linspace(xrange[0],xrange[1],xsteps))
;#    yarr = np.array(np.linspace(yrange[0],yrange[1],ysteps))
;#    pts = []
;#    for i, y in enumerate(yarr):
;#        # snake pattern: reverse every other row
;#        xs = xarr[::-1] if (i % 2) else xarr
;#        for x in xs:
;#            pts.append((x, y))
;#    return pts, len(pts)

;def a():
;    return paired[pair_index][0]

;def b():
;    return paired[pair_index][1]

;repeat, pair_index = None, None

;paired, pairs = onesweepscanners(10,10,[0,2],[0,2])
;pair_index = None

;purpose = "Scanner function Test"

;def wrapUp():
;   scanner.x, scanner.y, scanner.z = 0, 0, 0
;   print("Cartesian product finished")

;parameters = {
;    "pair_index" : np.arange(pairs),
;    "scanner.x" : ["a()"],
;    "scanner.y" : ["b()"],
;    "time.sleep" : [5]
;}

2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:20:58.322515,1747261258.3225667,0,1,-6.854401359624781e-07,3.7166448122589774e-07,6.511750273122603e-08,-6.270910528828444e-07,-5.3651404423628664e-08,6.00142876374276e-08,-1.2398596678385852e-07,-1.6789529824937865e-07,1,1,Scanner function Test,4.29,53.24,0.0,300.003,0.00015259021896696368,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:04.849631,1747261264.8496614,0,1,4.891299950778558e-08,7.512892604413166e-07,9.27987757794223e-09,-6.071966422964669e-08,1.2973076954756683e-07,-7.676498079369897e-08,1.761647586913377e-07,-1.9146806710493267e-07,1,1,Scanner function Test,4.28,53.26,0.0,300.0,0.22232394903486608,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:11.523963,1747261271.523994,0,1,-1.2197395075798166e-07,3.5016899087392244e-07,5.384444680606516e-08,7.587798002593837e-07,2.03539478364682e-07,6.531235510814353e-08,4.3699909606844475e-08,-1.7906054668928414e-07,1,1,Scanner function Test,4.29,53.25,0.0,300.0,0.44449530785076696,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:18.200438,1747261278.200469,0,1,4.798982588443452e-07,2.3769839488224465e-07,9.229937267481823e-08,2.2989620320285693e-07,3.786375409819946e-08,-7.340341915197147e-09,-1.5122561601786247e-09,-8.026615700787689e-08,1,1,Scanner function Test,4.28,53.25,0.0,300.005,0.6666666666666661,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:25.248705,1747261285.2487352,0,1,-6.582533251966942e-07,1.6388244799483701e-06,3.5530009806384484e-07,-9.380784369625929e-07,1.0233442606838844e-07,-5.974265816341768e-08,3.134572007754106e-07,-1.08101009332176e-08,1,1,Scanner function Test,4.28,53.24,0.0,300.009,0.8891432059205009,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:32.042608,1747261292.0426383,0,1,-5.023050141713121e-07,1.2285901670658259e-06,-9.622343700331593e-07,-6.581661640257232e-07,5.9447602899754187e-08,3.776323473992005e-08,1.2562216809197013e-07,1.8628908726054932e-08,1,1,Scanner function Test,4.29,53.26,0.0,300.001,1.1113145647364,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:38.948552,1747261298.948584,0,1,3.0742568471829776e-07,6.042677482387952e-07,2.7353481167716173e-07,-3.790763479521436e-07,1.8433228952681077e-07,-9.576588165779805e-08,-2.8324051757733724e-09,1.2833188167377191e-07,1,1,Scanner function Test,4.28,53.27,0.0,300.001,1.333485923552301,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:45.769533,1747261305.769564,0,1,-5.501497825837092e-07,-7.0719001531345e-08,-9.870304562969178e-07,-7.167904128951082e-08,-1.976603886328592e-08,4.1878809089427e-08,2.0296997313059547e-07,5.218184744526008e-08,1,1,Scanner function Test,4.28,53.27,0.0,299.996,1.5556572823682,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:52.684479,1747261312.6845095,0,1,-4.266146587009087e-07,9.055157582767763e-07,2.6987936338181773e-07,8.531045299695406e-07,-7.879855870757298e-08,-2.0367180665473183e-07,-1.8955859103323681e-07,-2.2439657925711765e-07,1,1,Scanner function Test,4.28,53.26,0.0,300.003,1.7778286411841009,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:21:59.501179,1747261319.5012112,0,1,-1.0936754428613724e-06,-2.2942353121318728e-07,1.2902640434172074e-07,1.0152844846561022e-07,7.216655312768694e-08,8.88941338827951e-08,2.5462501452357907e-08,6.409907156775776e-08,1,1,Scanner function Test,4.28,53.26,0.0,300.002,2.0,0.00015259021896696368,0.00015259021896696368
2025-05-14 15:20:53.157541,,,0.0,0.0,2025-05-14 15:22:06.538959,1747261326.5389926,0,1,-9.019612801169902e-07,-4.509658175919201e-07,-2.1916068339459993e-07,1.076129823132265e-06,7.61894428311732e-09,1.3495025485432778e-07,-1.8642854513875457e-08,3.259992432005414e-08,1,1,Scanner function Test,4.29,53.25,0.0,300.002,2.0,0.22232394903486608,0.00015259021896696368
