; from aparatus.dummy import instrument as inst

; parameters = {
;    "inst.phase #an initialization": 0,
;    "inst.phase #for real": [1,2,3],
;    "inst.frequency": np.linspace(1, 10, 2),
;    "inst.temperature": [25, 30, 35],
; }

inst.frequency, inst.temperature #angry, inst.get_voltage #cool
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5

; # system seems good.
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
1.0,25,3.5
1.0,30,4.0
1.0,35,4.5
10.0,25,12.5
10.0,30,13.0
10.0,35,13.5
