
# tc = 0.01;
# parameters= {
#    'Tc': tc,
#    "theta": 90,
#    'B': ( np.linspace(-0.1, 0.1, 20+1)),
#    'wait': [10*tc]
# };


A,B,C,D
79,43,27,83
85,73,79,21
91,29,22,36
61,25,54,65
30,75,15,12
17,16,16,37
86,11,53,69
43,37,92,56
86,93,38,16
68,90,92,61
A,B,C,D
3,68,69,57
77,11,43,14
96,21,78,23
18,79,2,80
54,16,80,79
12,7,68,50
97,18,51,43
54,51,8,46
9,84,66,63
53,90,94,25
A,B,C,D
3,68,69,57
77,11,43,14
96,21,78,23
18,79,2,80
54,16,80,79
12,7,68,50
97,18,51,43
54,51,8,46
9,84,66,63
53,90,94,25
,A,B,C,D
0,3,68,69,57
1,77,11,43,14
2,96,21,78,23
3,18,79,2,80
4,54,16,80,79
5,12,7,68,50
6,97,18,51,43
7,54,51,8,46
8,9,84,66,63
9,53,90,94,25
A,B,C,D
3,68,69,57
77,11,43,14
96,21,78,23
18,79,2,80
54,16,80,79
12,7,68,50
97,18,51,43
54,51,8,46
9,84,66,63
53,90,94,25
